,Name,Description
36,Helicobacter pylori,"Helicobacter pylori, previously known as Campylobacter pylori, is a gram-negative, microaerophilic, spiral (helical) bacterium usually found in the stomach. Its helical shape (from which the genus name, helicobacter, derives) is thought to have evolved in order to penetrate the mucoid lining of the stomach and thereby establish infection. The bacterium was first identified in 1982 by the Australian doctors Barry Marshall and Robin Warren. H. pylori has been associated with cancer of the mucosa-associated lymphoid tissue in the stomach, esophagus, colon, rectum, or tissues around the eye (termed extranodal marginal zone B-cell lymphoma of the cited organ), and of lymphoid tissue in the stomach (termed diffuse large B-cell lymphoma).H. pylori infection usually has no symptoms but sometimes causes gastritis (stomach inflammation) or ulcers of the stomach or first part of the small intestine. The infection is also associated with the development of certain cancers. Many investigators have suggested that H. pylori causes or prevents a wide range of other diseases, but many of these relationships remain controversial.Some studies suggest that H. pylori plays an important role in the natural stomach ecology, e.g. by influencing the type of bacteria that colonize the gastrointestinal tract. Other studies suggest that non-pathogenic strains of H. pylori may beneficially normalize stomach acid secretion, and regulate appetite.In 2015, it was estimated that over 50% of the world's population had H. pylori in their upper gastrointestinal tracts with this infection (or colonization) being more common in developing countries. In recent decades, however, the prevalence of H. pylori colonization of the gastrointestinal tract has declined in many countries."
37,Chlamydia trachomatis,"Chlamydia trachomatis (), commonly known as chlamydia, is a bacterium that causes chlamydia, which can manifest in various ways, including: trachoma, lymphogranuloma venereum, nongonococcal urethritis, cervicitis, salpingitis, pelvic inflammatory disease. C. trachomatis is the most common infectious cause of blindness and the most common sexually transmitted bacterium.Different types of C. trachomatis cause different diseases. The most common strains cause disease in the genital tract, while other strains cause disease in the eye or lymph nodes. Like other Chlamydia species, the C. trachomatis life cycle consists of two morphologically distinct life stages: elementary bodies and reticulate bodies. Elementary bodies are spore-like and infectious, whereas reticulate bodies are in the replicative stage and are seen only within host cells."
38,Chlamydophila,Chlamydophila is a controversial bacterial genus belonging to the family Chlamydiaceae.
39,Clostridium,"Clostridium is a genus of Gram-positive bacteria. This genus includes several significant human pathogens, including the causative agents of botulism and tetanus. The genus formerly included an important cause of diarrhea, Clostridioides difficile, which was reclassified into the Clostridioides genus in 2016. They are obligate anaerobes capable of producing endospores. The normal, reproducing cells of Clostridium, called the vegetative form, are rod-shaped, which gives them their name, from the Greek κλωστήρ or spindle. Clostridium endospores have a distinct bowling pin or bottle shape, distinguishing them from other bacterial endospores, which are usually ovoid in shape. Clostridium species inhabit soils and the intestinal tract of animals, including humans. Clostridium is a normal inhabitant of the healthy lower reproductive tract of females.The genus, as traditionally defined, contains many organisms not closely related to its type species. The issue was originally illustrated in full detail by a rRNA phylogeny from Collins 1994, which split the traditional genus (now corresponding to a large slice of Clostridia) into twenty clusters, with cluster I containing the type species and its close relatives. Over the years, this has resulted in many new genera being split out, with the ultimate goal of constraining Clostridium to cluster I.""Clostridium"" cluster XIVa and ""Clostridium"" cluster IV efficiently ferment plant polysaccharide composing dietary fiber, making them important and abundant taxa in the rumen and the human large intestine. As mentioned before, these clusters are not part of current Clostridium, and use of these terms should be avoided due to ambiguous or inconsistent usage."
40,Clostridium botulinum,"Clostridium botulinum is a Gram-positive, rod-shaped, anaerobic, spore-forming, motile bacterium with the ability to produce the neurotoxin botulinum.The botulinum toxin can cause botulism, a severe flaccid paralytic disease in humans and other animals, and is the most potent toxin known to mankind, natural or synthetic, with a lethal dose of 1.3–2.1 ng/kg in humans.C. botulinum is a diverse group of pathogenic bacteria initially grouped together by their ability to produce botulinum toxin and now known as four distinct groups, C. botulinum groups I–IV, as well as some strains of Clostridium butyricum and Clostridium baratii, are the bacteria responsible for producing botulinum toxin.C. botulinum is responsible for foodborne botulism (ingestion of preformed toxin), infant botulism (intestinal infection with toxin-forming C. botulinum), and wound botulism (infection of a wound with C. botulinum).  C. botulinum produces heat-resistant endospores that are commonly found in soil and are able to survive under adverse conditions.C. botulinum is commonly associated with bulging canned food; bulging, misshapen cans can be due to an internal increase in pressure caused by gas produced by the bacteria."
41,Clostridium tetani,"Clostridium tetani is a common soil bacterium and the causative agent of tetanus. Vegetative cells of C. tetani are usually rod-shaped and up to 2.5 μm long, but they become enlarged and tennis racket- or drumstick-shaped when forming spores. C. tetani spores are extremely hardy and can be found globally in soil or in the gastrointestinal tract of animals. If inoculated into a wound, C. tetani can grow and produce a potent toxin, tetanospasmin, which interferes with motor neurons, causing tetanus. The toxin's action can be prevented with tetanus toxoid vaccines, which are often administered to children worldwide."
42,Corynebacterium,"Corynebacterium () is a genus of bacteria that are Gram-positive and most are aerobic. They are bacilli (rod-shaped), and in some phases of life they are, more specifically, club-shaped, which inspired the genus name (coryneform means ""club-shaped"").
They are widely distributed in nature in the microbiota of animals (including the human microbiota) and are mostly innocuous, most commonly existing in commensal relationships with their hosts.  Some are useful in industrial settings such as C. glutamicum. Others can cause human disease, including most notably diphtheria, which is caused by C. diphtheriae. As with various species of a microbiota (including their relatives in the genera Arcanobacterium and Trueperella), they usually are not pathogenic, but can occasionally opportunistically capitalize on atypical access to tissues (via wounds) or weakened host defenses."
43,Corynebacterium diphtheriae,"Corynebacterium diphtheriae is the pathogenic bacterium that causes diphtheria. It is also known as the Klebs–Löffler bacillus, because it was discovered in 1884 by German bacteriologists Edwin Klebs (1834–1912) and Friedrich Löffler (1852–1915)."
44,Ehrlichia chaffeensis,"Ehrlichia chaffeensis is an obligate intracellular, Gram-negative species of Rickettsiales bacteria. It is a zoonotic pathogen transmitted to humans by the lone star tick (Amblyomma americanum). It is the causative agent of human monocytic ehrlichiosis.Genetic studies support the endosymbiotic theory that a subset of these organisms evolved to live inside mammalian cells as mitochondria to provide cellular energy to the cells in return for protection and sustenance.  ATP production in the rickettsiae is biochemically identical to that in mammalian mitochondria;  all multi-cellular eukaryotes have mitochondria in their cells, including birds, fish, reptiles, invertebrates, plants, and fungi in addition to mammals.
Human monocytic ehrlichiosis caused by E. chaffeensis is known to spread through tick infection primarily in the Southern, South-central and Mid-Atlantic regions of the United States. In recent years, the lone star tick has expanded its range along the East Coast to New England, putting more humans at risk for tick-borne infections.It is named for Fort Chaffee, where the bacterium was first discovered in blood samples of infected patients."
45,Eikenella corrodens,"Eikenella corrodens is a Gram-negative facultative anaerobic bacillus that can cause severe invasive disease in humans. It was first identified by M. Eiken in 1958, who called it Bacteroides corrodens. E. corrodens is a rare pericarditis associated pathogen. It is a fastidious, slow growing, human commensal bacillus, capable of acting as an opportunistic pathogen and causing abscesses in several anatomical sites, including the liver, lung, spleen, and submandibular region. E. corrodens could independently cause serious infection in both immunocompetent and immunocompromised hosts."
46,Enterobacter cloacae,"Enterobacter cloacae is a clinically significant Gram-negative, facultatively-anaerobic, rod-shaped bacterium."
47,Enterococcus,"Enterococcus is a large genus of lactic acid bacteria of the phylum Bacillota. Enterococci are gram-positive cocci that often occur in pairs (diplococci) or short chains, and are difficult to distinguish from streptococci on physical characteristics alone. Two species are common commensal organisms in the intestines of humans: E. faecalis (90–95%) and E. faecium (5–10%). Rare clusters of infections occur with other species, including E. casseliflavus, E. gallinarum, and E. raffinosus."
48,Enterococcus avium,"Enterococcus avium, a species of Enterococcus, is most commonly found in birds.  Rarely, it is also a cause of infection in humans, and in such cases, may be vancomycin-reistant, and is referred to as VREA.  VREA cases in humans have been successfully treated with linezolid."
49,Enterococcus durans,"Enterococcus durans is a species of Enterococcus.
It is a gram-positive, catalase- and oxidase-negative, coccus bacterium. The organism is also a facultative anaerobic organism. Prior to 1984, it was known as Streptococcus durans.Certain strains have also been identified as producers of anti-inflammatory agents, which are being studied in medical research."
50,Enterococcus faecalis,"Enterococcus faecalis – formerly classified as part of the group D Streptococcus system – is a Gram-positive, commensal bacterium inhabiting the gastrointestinal tracts of humans. Like other species in the genus Enterococcus, E. faecalis is found in healthy humans and can be used as a probiotic. The probiotic strains such as Symbioflor1 and EF-2001 are characterized by the lack of specific genes related to drug resistance and pathogenesis. As an opportunistic pathogen, E. faecalis can cause life-threatening infections, especially in the nosocomial (hospital) environment, where the naturally high levels of antibiotic resistance found in E. faecalis contribute to its pathogenicity.E. faecalis has been frequently found in reinfected, root canal-treated teeth in prevalence values ranging from 30% to 90% of the cases. Re-infected root canal-treated teeth are about nine times more likely to harbor E. faecalis than cases of primary infections."
51,Enterococcus faecium,"Enterococcus faecium is a Gram-positive, gamma-hemolytic or non-hemolytic bacterium in the genus Enterococcus. It can be commensal (innocuous, coexisting organism) in the gastrointestinal tract of humans and animals, but it may also be pathogenic, causing diseases such as neonatal meningitis or endocarditis.
Vancomycin-resistant E. faecium is often referred to as VRE."
52,Enterococcus gallinarum,"Enterococcus gallinarum is a species of Enterococcus. E. gallinarum demonstrates an inherent, low-level resistance to vancomycin. Resistance is due to a chromosomal gene, vanC, which encodes for a terminal D-alanine-D-serine instead of the usual D-alanine-D-alanine in cell wall peptidoglycan precursor proteins. That is a separate mechanism than the vancomycin resistance seen in VRE isolates of E. faecium and E. faecalis which is mediated by vanA or vanB. This species is known to cause clusters of infection, although it considered very rare. It is the only other known enterococcal species besides E. faecium and E. faecalis known to cause outbreaks and spread in hospitals.A study published in 2018 found that this infectious gut bacterium can translocate (spread) to other organs such as the lymph nodes, liver, and spleen, triggering an autoimmune reaction in humans and mice. E. gallinarum was found during three liver biopsies of individuals with systemic lupus erythematosus and autoimmune liver disease. The autoimmune reaction was found to be suppressed when an intramuscular vaccine or antibiotic was administered.The bacterium can also cause meningitis, although rare and sepsis.The antibiotics linezolid, daptomycin and gentamicin, levofloxacin, and penicillin G are effective against the bacteria, depending on the specific isolate."
53,Escherichia coli,"Escherichia coli (), also known as E. coli (), is a Gram-negative, facultative anaerobic, rod-shaped, coliform bacterium of the genus Escherichia that is commonly found in the lower intestine of warm-blooded organisms. Most E. coli strains are harmless, but some serotypes (EPEC, ETEC etc.) can cause serious food poisoning in their hosts, and are occasionally responsible for food contamination incidents that prompt product recalls. The harmless strains are part of the normal microbiota of the gut, and can benefit their hosts by producing vitamin K2, and preventing colonisation of the intestine with pathogenic bacteria, having a mutualistic relationship. E. coli is expelled into the environment within fecal matter.  The bacterium grows massively in fresh fecal matter under aerobic conditions for three days, but its numbers decline slowly afterwards.E. coli and other facultative anaerobes constitute about 0.1% of gut microbiota, and fecal–oral transmission is the major route through which pathogenic strains of the bacterium cause disease. Cells are able to survive outside the body for a limited amount of time, which makes them potential indicator organisms to test environmental samples for fecal contamination. A growing body of research, though, has examined environmentally persistent E. coli which can survive for many days and grow outside a host.The bacterium can be grown and cultured easily and inexpensively in a laboratory setting, and has been intensively investigated for over 60 years. E. coli is a chemoheterotroph whose chemically defined medium must include a source of carbon and energy. E. coli is the most widely studied prokaryotic model organism, and an important species in the fields of biotechnology and microbiology, where it has served as the host organism for the majority of work with recombinant DNA. Under favorable conditions, it takes as little as 20 minutes to reproduce."
54,Fusobacterium necrophorum,Fusobacterium necrophorum is a species of bacteria responsible for Lemierre's syndrome and other medical problems.
55,Fusobacterium nucleatum,"Fusobacterium nucleatum is an oral bacterium, commensal to the human oral cavity, that plays a role in periodontal disease. This organism is commonly recovered from different monocultured microbial and mixed infections in humans and animals. It is a key component of periodontal plaque due to its abundance and its ability to coaggregate with other bacteria species in the oral cavity."
56,Gardnerella vaginalis,"Gardnerella is a genus of Gram-variable-staining facultative anaerobic bacteria of which Gardnerella vaginalis is the only species. The organisms are small (1.0–1.5 μm in diameter) non-spore-forming, nonmotile coccobacilli.
Once classified as Haemophilus vaginalis and afterwards as Corynebacterium vaginalis, G. vaginalis grows as small, circular, convex, gray colonies on chocolate agar; it also grows on HBT agar. A selective medium for G. vaginalis is colistin-oxolinic acid blood agar."
57,Haemophilus,"Haemophilus is a genus of Gram-negative, pleomorphic, coccobacilli bacteria belonging to the family Pasteurellaceae. While Haemophilus bacteria are typically small coccobacilli, they are categorized as pleomorphic bacteria because of the wide range of shapes they occasionally assume. These organisms inhabit the mucous membranes of the upper respiratory tract, mouth, vagina, and intestinal tract. The genus includes commensal organisms along with some significant pathogenic species such as H. influenzae—a cause of sepsis and bacterial meningitis in young children—and H. ducreyi, the causative agent of chancroid. All members are either aerobic or facultatively anaerobic. This genus has been found to be part of the salivary microbiome."
58,Haemophilus ducreyi,"Haemophilus ducreyi is a fastidious gram-negative coccobacillus bacteria. 
It causes the sexually transmitted disease chancroid, a major cause of genital ulceration in developing countries characterized by painful sores on the genitalia. Chancroid starts as an erythematous papular lesion that breaks down into a painful bleeding ulcer with a necrotic base and ragged edge. More recently, it has also been found to cause chronic skin ulceration away from the genitalia, infect children and adults, and behave in a manner that mimics yaws. These strains seem to have diverged quite recently.H. ducreyi can be cultured on chocolate agar. It is best treated with a macrolide, e.g. azithromycin, and a third-generation cephalosporin, e.g. ceftriaxone. H. ducreyi gram stain resembles a ""school of fish."""
59,Haemophilus influenzae,"Haemophilus influenzae (formerly called Pfeiffer's bacillus or Bacillus influenzae) is a Gram-negative, coccobacillary, facultatively anaerobic capnophilic pathogenic bacterium of the family Pasteurellaceae. H. influenzae was first described in 1892 by Richard Pfeiffer during an influenza pandemic. He incorrectly described Haemophilus influenzae as the causative microbe, which retains ""influenza"" in its name.The bacterium was argued by some to be the cause of influenza as bacterial influenza.  H. influenzae is responsible for a wide range of localized and invasive infections, but influenza is caused by viruses.
This species was the first free-living organism to have its entire genome sequenced."
60,Haemophilus parainfluenzae,"Haemophilus parainfluenzae is a species of Haemophilus.
It is one of the HACEK organisms.H. parainfluenzae is an opportunistic pathogen that has been associated with endocarditis, bronchitis, otitis, conjunctivitis, pneumonia, abscesses and genital tract infections."
61,Klebsiella pneumoniae,"Klebsiella pneumoniae is a Gram-negative, non-motile, encapsulated, lactose-fermenting, facultative anaerobic, rod-shaped bacterium. It appears as a mucoid lactose fermenter on MacConkey agar.
Although found in the normal flora of the mouth, skin, and intestines, it can cause destructive changes to human and animal lungs if aspirated, specifically to the alveoli resulting in bloody, brownish or yellow colored jelly like sputum. In the clinical setting, it is the most significant member of the genus Klebsiella of the Enterobacteriaceae. K. oxytoca and K. rhinoscleromatis have also been demonstrated in human clinical specimens. In recent years, Klebsiella species have become important pathogens in nosocomial infections.
It naturally occurs in the soil, and about 30% of strains can fix nitrogen in anaerobic conditions. As a free-living diazotroph, its nitrogen-fixation system has been much-studied, and is of agricultural interest, as K. pneumoniae has been demonstrated to increase crop yields in agricultural conditions.It is closely related to K. oxytoca from which it is distinguished by being indole-negative and by its ability to grow on melezitose but not 3-hydroxybutyrate."
62,Lactobacillus,"Lactobacillus is a genus of Gram-positive, aerotolerant anaerobes or microaerophilic, rod-shaped, non-spore-forming bacteria. Until March 2020, the genus Lactobacillus comprised over 260 phylogenetically, ecologically, and metabolically diverse species; a taxonomic revision of the genus in 2020 assigned lactobacilli to 25 genera (see § Taxonomy below).Lactobacillus species constitute a significant component of the  human and animal microbiota at a number of body sites, such as the digestive system, and the female genital system. In women of European ancestry, Lactobacillus species are normally a major part of the vaginal microbiota. Lactobacillus forms biofilms in the vaginal and gut microbiota, allowing them to persist during harsh environmental conditions and maintain ample populations. Lactobacillus exhibits a mutualistic relationship with the human body, as it protects the host against potential invasions by pathogens, and in turn, the host provides a source of nutrients. Lactobacilli are among the most common probiotic found in food such as yogurt, and it is diverse in its application to maintain human well-being, as it can help treat diarrhea, vaginal infections, and skin disorders such as eczema."
63,Lactobacillus acidophilus,"Lactobacillus acidophilus (New Latin 'acid-loving milk-bacillus') is a species of Gram-positive bacteria in the genus Lactobacillus. L. acidophilus is a homofermentative, microaerophilic species, fermenting sugars into lactic acid, and grows readily at rather low pH values (below pH 5.0) and has an optimum growth temperature of around 37 °C (99 °F). L. acidophilus is found in the human and animal gastrointestinal tract and mouth.
Some strains of L. acidophilus may be considered to have probiotic characteristics. These strains are commercially used in many dairy products, sometimes together with Streptococcus thermophilus and Lactobacillus delbrueckii subsp. bulgaricus in the production of acidophilus-type yogurt, or acidophiline. Its genome has been sequenced.L. acidophilus was found to lower serum cholesterol and raise cholesterol in fecal matter when fed to pigs. These pigs were fed the same amount of food, with the same nutritional content, but one group received saline solution with L. acidophilus while the other group received just the saline. The group given the saline with the bacteria had lowered serum cholesterol compared to the control group. Pigs were chosen because their digestive system is similar to that of humans.
L. acidophilus is also correlated with antagonistic actions upon growth for Staphylococcus aureus, Escherichia coli, Salmonella typhimurium, and Clostridium perfringens. The S. aureus, out of the four organisms, was the most affected by L. acidophilus. However, along with S. aureus, the other gram positive bacteria C. perfringens, was affected more by L. acidophilus, than the two other bacteria that are gram negative.
L. acidophilus is found to also reduce oral plaque formation by Streptococcus mutans. Although some research has been done, more needs to be done to determine how strong the effect is on S. mutans, what the effect is, and how exactly the effect is executed on L. acidophilus. The research was performed in the lab, and not on animals.
The viability of L. acidophilus cells encapsulated by spray drying technology 
stored at refrigerated condition (4 °C) was found to be higher than the viability of cells stored at room temperature (25 °C)."
64,Lactococcus lactis,"Lactococcus lactis  is a Gram-positive bacterium used extensively in the production of buttermilk and cheese, but has also become famous as the first genetically modified organism to be used alive for the treatment of human disease. L. lactis cells are cocci that group in pairs and short chains, and, depending on growth conditions, appear ovoid with a typical length of 0.5 - 1.5 µm. L. lactis does not produce spores (nonsporulating) and are not motile (nonmotile). They have a homofermentative metabolism, meaning they produce lactic acid from sugars. They've also been reported to produce exclusive L-(+)-lactic acid. However, reported D-(−)-lactic acid can be produced when cultured at low pH. The capability to produce lactic acid is one of the reasons why L. lactis is one of the most important microorganisms in the dairy industry. Based on its history in food fermentation, L. lactis has generally recognized as safe (GRAS) status, with few case reports of it being an opportunistic pathogen.Lactococcus lactis is of crucial importance for manufacturing dairy products, such as buttermilk and cheeses. When L. lactis ssp. lactis is added to milk, the bacterium uses enzymes to produce energy molecules (ATP), from lactose. The byproduct of ATP energy production is lactic acid. The lactic acid produced by the bacterium curdles the milk, which then separates to form curds that are used to produce cheese. Other uses that have been reported for this bacterium include the production of pickled vegetables, beer or wine, some breads, and other fermented foodstuffs like soymilk kefir, buttermilk, and others. L. lactis is one of the best characterized low GC Gram positive bacteria with detailed knowledge on genetics, metabolism and biodiversity.L. lactis is mainly isolated from either the dairy environment, or plant material. Dairy isolates are suggested to have evolved from plant isolates through a process in which genes without benefit in the rich milk were lost, or down-regulated. This process, also called genome erosion or reductive evolution is also described in several other lactic acid bacteria. The proposed transition from the plant to the dairy environment was reproduced in the laboratory through experimental evolution of a plant isolate that was cultivated in milk for a prolonged period. Consistent with the results from comparative genomics (see references above) this resulted in L. lactis losing or down-regulating genes which are dispensable in milk and the up-regulation of peptide transport.Hundreds of novel small RNAs were identified by Meulen et al. in the genome of L. lactis MG1363. One of them: LLnc147, was shown to be involved in carbon uptake and metabolism."
65,Legionella pneumophila,"Legionella pneumophila is a thin, aerobic, pleomorphic, flagellated, non-spore-forming, Gram-negative bacterium of the genus Legionella. L. pneumophila is the primary human pathogenic bacterium in this group and is the causative agent of Legionnaires' disease, also known as legionellosis.
In nature, L. pneumophila infects freshwater and soil amoebae of the genera Acanthamoeba and Naegleria. The mechanism of infection is similar in amoeba and human cells."
66,Leptospira interrogans,"Leptospira interrogans is a species of obligate aerobic spirochetes. This species is pathogenic to some wild and domestic animals, including pet dogs. It can also spread to humans, where infection can cause flu-like symptoms with renal and hepatic damage. L. interrogans is mainly found in tropical regions, where waste treatment is underdeveloped."
67,Leptospira noguchii,"Leptospira noguchii is a gram-negative, pathogenic organism named for Japanese bacteriologist Dr. Hideyo Noguchi who named the genus Leptospira. L. noguchii is famous for causing the febrile illness in Fort Bragg, NC during World War II. There was 40 cases of this fever documented during each summer from 1942 to 1944; however, there were 0 deaths recorded from this outbreak. Unlike other strains of Leptospira that cause leptospirosis, L. noguchii is characterized by showing a pretibial rash on the victim. Its specific epithet recognises Hideyo Noguchi."
68,Listeria monocytogenes,"Listeria monocytogenes is the species of pathogenic bacteria that causes the infection listeriosis. It is a facultative anaerobic bacterium, capable of surviving in the presence or absence of oxygen. It can grow and reproduce inside the host's cells and is one of the most virulent foodborne pathogens: 20 to 30% of foodborne listeriosis infections in high-risk individuals may be fatal. Responsible for an estimated 1,600 illnesses and 260 deaths in the United States annually, listeriosis ranks third in total number of deaths among foodborne bacterial pathogens, with fatality rates exceeding even Salmonella spp. and Clostridium botulinum. In the European Union, listeriosis follows an upward trend that began in 2008, causing 2,161 confirmed cases and 210 reported deaths in 2014, 16% more than in 2013. Listeriosis mortality rates are also higher in the EU than for other foodborne pathogens.Listeria monocytogenes is a Gram-positive bacterium, in the phylum Bacillota, named after Joseph Lister. Its ability to grow at temperatures as low as 0 °C permits multiplication at typical refrigeration temperatures, greatly increasing its ability to evade control in human foodstuffs. Motile via flagella at 30 °C and below, but usually not at 37 °C, L. monocytogenes can instead move within eukaryotic cells by explosive polymerization of actin filaments (known as comet tails or actin rockets).Studies suggest up to 10% of human gastrointestinal tracts may be colonized by L. monocytogenes. Nevertheless, clinical diseases due to L. monocytogenes are more frequently recognized by veterinarians, especially as meningoencephalitis in ruminants. See: listeriosis in animals.
Due to its frequent pathogenicity, causing meningitis in newborns (acquired transvaginally), pregnant mothers are often advised not to eat soft cheeses such as Brie, Camembert, feta, and queso blanco fresco, which may be contaminated with and permit growth of L.  monocytogenes. It is the third-most common cause of meningitis in newborns. Listeria monocytogenes can infect the brain, spinal-cord membranes and/or the bloodstream of the host through the ingestion of contaminated food such as unpasteurized dairy or raw foods."
69,Micrococcus luteus,"Micrococcus luteus is a Gram-positive, to Gram-variable, nonmotile, coccus, tetrad-arranging, pigmented, saprotrophic bacterium that belongs to the family Micrococcaceae. It is urease and catalase positive. An obligate aerobe, M. luteus is found in soil, dust, water and air, and as part of the normal microbiota of the mammalian skin. The bacterium also colonizes the human mouth, mucosae, oropharynx and upper respiratory tract. 
Micrococcus luteus is considered a contaminant in sick patients and is resistant by slowing of major metabolic processes and induction of unique genes. It is a high G + C ratio bacterium.
Micrococcus luteus is coagulase negative, bacitracin susceptible, and forms bright yellow colonies on nutrient agar. 
Micrococcus luteus has been shown to survive in oligotrophic environments for extended periods of time.  Recent work by Greenblatt et al. demonstrate that Micrococcus luteus has survived for at least 34,000 to 170,000 years on the basis of 16S rRNA analysis, and possibly much longer.  It was sequenced in 2010 and has one of the smallest genomes of free-living Actinomycetota sequenced to date, comprising a single circular chromosome of 2,501,097 bp."
70,Moraxella catarrhalis,"Moraxella catarrhalis is a fastidious, nonmotile, Gram-negative, aerobic, oxidase-positive diplococcus that can cause infections of the respiratory system, middle ear, eye, central nervous system, and joints of humans. It causes the infection of the host cell by sticking to the host cell using trimeric autotransporter adhesins."
71,Mycobacterium,"Mycobacterium is a genus of Actinomycetota, given its own family, the Mycobacteriaceae. Over 190 species are recognized in this genus. This genus includes pathogens known to cause serious diseases in mammals, including tuberculosis (Mycobacterium tuberculosis) and leprosy (Mycobacterium leprae) in humans. The Greek prefix myco- means 'fungus', alluding to the way mycobacteria have been observed to grow in a mold-like fashion on the surface of cultures. It is acid-fast and cannot be stained by the Gram stain procedure."
72,Mycobacterium bovis,"Mycobacterium bovis (M. bovis) is a slow-growing (16- to 20-hour generation time) aerobic bacterium and the causative agent of tuberculosis in cattle (known as bovine TB). It is related to Mycobacterium tuberculosis, the bacterium which causes tuberculosis in humans. M. bovis can jump the species barrier and cause tuberculosis-like infection in humans and other mammals."
73,Mycobacterium leprae,"Mycobacterium leprae is a bacterium that causes leprosy, also known as ""Hansen’s disease"", which is a chronic infectious disease that damages the peripheral nerves and targets the skin, eyes, nose, and muscles. Leprosy can occur at all ages from infancy to elderly, but is curable in which treatments can avert disabilities. It was discovered in 1873 by the Norwegian physician Gerhard Armauer Hansen, who was searching for the bacteria in the skin nodules of patients with leprosy. It was the first bacterium to be identified as causing disease in humans."
74,Mycobacterium lepraemurium,"Mycobacterium lepraemurium is a causative agent of feline leprosy.  It causes granulomatous lesions, characteristic of the Mycobacterium genus."
75,Mycobacterium phlei,"Mycobacterium phlei is a species of acid-fast bacteria in the genus Mycobacterium.  It is characterized as one of the fast-growing mycobacteria.  M. phlei has only occasionally been isolated in human infections, and patients infected with M. phlei generally respond well to anti-mycobacterial therapy.  M. phlei has an unusually high GC-content of 73%."
76,Mycobacterium smegmatis,"Mycobacterium smegmatis is an acid-fast bacterial species in the phylum Actinomycetota and the genus Mycobacterium.  It is 3.0 to 5.0 µm long with a bacillus shape and can be stained by Ziehl–Neelsen method and the auramine-rhodamine fluorescent method. It was first reported in November 1884 by Lustgarten, who found a bacillus with the staining appearance of tubercle bacilli in syphilitic chancres.  Subsequent to this, Alvarez and Tavel found organisms similar to that described by Lustgarten also in normal genital secretions (smegma). This organism was later named M. smegmatis.Some species of the genus Mycobacterium have recently been renamed to Mycolicibacterium, so that M. smegmatis is now Mycolicibacterium smegmatis."
77,Mycobacterium tuberculosis,"Mycobacterium tuberculosis (M. tb) is a species of pathogenic bacteria in the family Mycobacteriaceae and the causative agent of tuberculosis. First discovered in 1882 by Robert Koch, M. tuberculosis has an unusual, waxy coating on its cell surface primarily due to the presence of mycolic acid. This coating makes the cells impervious to Gram staining, and as a result, M. tuberculosis can appear weakly Gram-positive. Acid-fast stains such as Ziehl–Neelsen, or fluorescent stains such as auramine are used instead to identify M. tuberculosis with a microscope. The physiology of M. tuberculosis is highly aerobic and requires high levels of oxygen. Primarily a pathogen of the mammalian respiratory system, it infects the lungs. The most frequently used diagnostic methods for tuberculosis are the tuberculin skin test, acid-fast stain, culture, and polymerase chain reaction.The M. tuberculosis genome was sequenced in 1998."
78,Mycoplasma,"Mycoplasma (plural mycoplasmas or mycoplasmata) is a genus of bacteria that lack a cell wall around their cell membranes. This characteristic makes them naturally resistant to antibiotics that target cell wall synthesis (like the beta-lactam antibiotics). They can be parasitic or saprotrophic. Several species are pathogenic in humans, including M. pneumoniae, which is an important cause of ""walking"" pneumonia and other respiratory disorders, and M. genitalium, which is believed to be involved in pelvic inflammatory diseases. Mycoplasma species are the smallest bacterial cells yet discovered, can survive without oxygen, and come in various shapes. For example, M. genitalium is flask-shaped (about 300 x 600 nm), while M. pneumoniae is more elongated (about 100 x 1000 nm). Hundreds of mycoplasma species infect animals."
79,Mycoplasma fermentans,"Mycoplasma fermentans is a very small bacterium in the class Mollicutes. Like other mycoplasmas M. fermentans is characterized by the absence of a peptidoglycan cell wall and resulting resistance to many antibacterial agents. It is a possible human pathogen with roles suggested in many illness such as respiratory, genital, and rheumatoid diseases among others. Investigations have focused on a possible link to it being a cofactor in HIV infection as well as fibromyalgia, Gulf War syndrome and Chronic fatigue syndrome, however the belief that M. fermentans is pathogenic in such conditions has largely been disregarded after the failure of several large scale studies to find a link. Due to its incredibly small size it is difficult to determine the full extent of its role in human diseases, while M. fermentans has been implicated in a myriad of diseases, research at the current point has not conclusively proven its pathogenicity in humans outside of opportunistic infections."
